"cluster_code","province","division","district","n_hh","n_hh_child","n_children"
"600","Gilgit Baltistan","Gilgit","Gilgit",4,3,8
"601","Gilgit Baltistan","Gilgit","Gilgit",4,4,22
"602","Gilgit Baltistan","Gilgit","Gilgit",5,5,10
"603","Gilgit Baltistan","Gilgit","Gilgit",5,4,7
"604","Gilgit Baltistan","Gilgit","Gilgit",5,4,8
"605","Gilgit Baltistan","Gilgit","Gilgit",5,5,17
"606","Gilgit Baltistan","Gilgit","Gilgit",4,4,8
"607","Gilgit Baltistan","Gilgit","Gilgit",6,5,11
"609","Gilgit Baltistan","Gilgit","Gilgit",2,2,6
"61","AJK","Muzaffarabad","Muzaffarabad",6,5,18
"612","Gilgit Baltistan","Gilgit","Gilgit",4,3,8
"613","Gilgit Baltistan","Gilgit","Gilgit",3,3,12
"614","Gilgit Baltistan","Gilgit","Gilgit",5,5,22
"621","Gilgit Baltistan","Gilgit","Nagar",6,6,14
"622","Gilgit Baltistan","Gilgit","Nagar",6,6,38
"623","Gilgit Baltistan","Gilgit","Nagar",5,4,13
"624","Gilgit Baltistan","Gilgit","Nagar",6,6,18
"625","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,11
"626","Khyber PakhtunKhwa","Bannu","Bannu ",6,4,7
"627","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,10
"629","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,13
"630","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,13
"631","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,24
"632","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,28
"633","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,13
"634","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,12
"635","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,19
"636","Khyber PakhtunKhwa","Bannu","Bannu ",6,5,11
"637","Khyber PakhtunKhwa","Bannu","Bannu ",6,5,16
"638","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,16
"639","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,17
"640","Khyber PakhtunKhwa","Bannu","Bannu ",6,6,20
"643","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,26
"644","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,5,22
"645","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,22
"647","Khyber PakhtunKhwa","Bannu","Lakki Marwat",5,3,9
"648","Khyber PakhtunKhwa","Bannu","Lakki Marwat",4,4,10
"649","Khyber PakhtunKhwa","Bannu","Lakki Marwat",5,4,28
"650","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,5,18
"651","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,25
"652","Khyber PakhtunKhwa","Bannu","Lakki Marwat",5,3,11
"653","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,4,15
"654","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,17
"655","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,5,11
"656","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,15
"657","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,2,6
"658","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,5,20
"659","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,4,12
"660","Khyber PakhtunKhwa","Bannu","Lakki Marwat",4,4,20
"661","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,26
"662","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,5,20
"665","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,14
"669","Khyber PakhtunKhwa","Bannu","Lakki Marwat",5,5,24
"67","AJK","Muzaffarabad","Muzaffarabad",6,5,10
"671","Khyber PakhtunKhwa","Bannu","Lakki Marwat",6,6,24
"673","Khyber PakhtunKhwa","DI Khan","DI Khan",7,7,14
"674","Khyber PakhtunKhwa","DI Khan","DI Khan",6,3,7
"675","Khyber PakhtunKhwa","DI Khan","DI Khan",6,5,9
"676","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,11
"678","Khyber PakhtunKhwa","DI Khan","DI Khan",6,4,12
"679","Khyber PakhtunKhwa","DI Khan","DI Khan",6,5,9
"68","AJK","Muzaffarabad","Muzaffarabad",6,6,23
"681","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,12
"682","Khyber PakhtunKhwa","DI Khan","DI Khan",3,3,15
"683","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,10
"684","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,13
"686","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,9
"687","Khyber PakhtunKhwa","DI Khan","DI Khan",5,5,18
"688","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,13
"69","AJK","Muzaffarabad","Muzaffarabad",6,5,12
"690","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,9
"691","Khyber PakhtunKhwa","DI Khan","DI Khan",6,5,12
"692","Khyber PakhtunKhwa","DI Khan","DI Khan",6,5,14
"694","Khyber PakhtunKhwa","DI Khan","DI Khan",6,4,10
"697","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,13
"698","Khyber PakhtunKhwa","DI Khan","DI Khan",6,6,17
"7","AJK","Mirpur","Bhimber",6,5,13
