"cluster_code","province","division","district","n_hh","n_hh_child","n_children"
"232","Balochistan","Makran","Kech",6,6,13
"243","Balochistan","Nasirabad","Bolan",6,5,12
"244","Balochistan","Nasirabad","Bolan",6,5,20
"25","AJK","Mirpur","Kotli",4,4,14
"264","Balochistan","Nasirabad","Naseerabad",6,6,19
"265","Balochistan","Nasirabad","Naseerabad",6,6,17
"266","Balochistan","Nasirabad","Naseerabad",5,4,10
"267","Balochistan","Nasirabad","Naseerabad",6,5,20
"27","AJK","Mirpur","Kotli",6,4,6
"270","Balochistan","Nasirabad","Naseerabad",5,5,20
"271","Balochistan","Nasirabad","Naseerabad",6,5,14
"272","Balochistan","Nasirabad","Naseerabad",5,3,7
"273","Balochistan","Nasirabad","Naseerabad",5,4,25
"275","Balochistan","Nasirabad","Naseerabad",6,5,12
"276","Balochistan","Nasirabad","Naseerabad",5,4,8
"277","Balochistan","Nasirabad","Naseerabad",4,4,12
"278","Balochistan","Nasirabad","Naseerabad",5,5,18
"279","Balochistan","Nasirabad","Naseerabad",5,3,8
"28","AJK","Mirpur","Kotli",6,3,4
"280","Balochistan","Nasirabad","Naseerabad",5,4,15
"282","Balochistan","Nasirabad","Naseerabad",5,4,13
"283","Balochistan","Nasirabad","Naseerabad",6,6,24
"284","Balochistan","Nasirabad","Sohbatpur",6,5,31
"285","Balochistan","Nasirabad","Sohbatpur",5,4,20
"287","Balochistan","Nasirabad","Sohbatpur",5,5,27
"288","Balochistan","Nasirabad","Sohbatpur",5,4,12
"29","AJK","Mirpur","Kotli",6,6,21
"295","Balochistan","Quetta","Chaman",1,1,2
"299","Balochistan","Quetta","Quetta",6,5,13
"3","AJK","Mirpur","Bhimber",6,4,16
"30","AJK","Mirpur","Kotli",7,6,22
"302","Balochistan","Quetta","Quetta",6,6,18
"304","Balochistan","Quetta","Quetta",6,6,14
"31","AJK","Mirpur","Mirpur",7,2,3
"314","Balochistan","Quetta","Quetta",6,6,14
"320","Balochistan","Quetta","Quetta",5,5,30
"323","Balochistan","Quetta","Quetta",4,3,8
"326","Balochistan","Quetta","Quetta",6,5,16
"327","Balochistan","Quetta","Quetta",6,6,17
